C,Value
http://dbpedia.org/resource/Odense,2280.7440100882723e0
http://dbpedia.org/resource/Rijeka,2468.681818181818e0
http://dbpedia.org/resource/Liberec,970.4119144122914e0
http://dbpedia.org/resource/Ploiești,3602.350720658888e0
http://dbpedia.org/resource/Jihlava,570.3164124743911e0
http://dbpedia.org/resource/Debrecen,438.8119241192412e0
http://dbpedia.org/resource/Székesfehérvár,571.2271051553631e0
http://dbpedia.org/resource/Amsterdam,4139.959875980303e0
http://dbpedia.org/resource/Žilina,1023.8660502311633e0
http://dbpedia.org/resource/Kaposvár,565.8948851131262e0
http://dbpedia.org/resource/Karlovy_Vary,770.1421800947868e0
http://dbpedia.org/resource/Havířov,2153.491271820449e0
http://dbpedia.org/resource/Pécs,893.8380173421068e0
http://dbpedia.org/resource/Pula,1014.7337850919652e0
http://dbpedia.org/resource/Békéscsaba,308.008044139638e0
http://dbpedia.org/resource/Szeged,572.4469448796468e0
http://dbpedia.org/resource/Chomutov,1581.6410256410256e0
http://dbpedia.org/resource/Győr,740.4707364563051e0
http://dbpedia.org/resource/Ostrava,1306.030901367689e0
http://dbpedia.org/resource/Berlin,4227.312997644947e0
http://dbpedia.org/resource/Osijek,553.8919073491564e0
http://dbpedia.org/resource/Most__city_,723.0963883137796e0
http://dbpedia.org/resource/Trondheim,654.1002454864672e0
http://dbpedia.org/resource/Lisbon,5445.787106446777e0
http://dbpedia.org/resource/Stavanger,2030.511562718991e0
http://dbpedia.org/resource/Athens,17042.55209937378e0
http://dbpedia.org/resource/Pleven,1187.6705882352942e0
http://dbpedia.org/resource/Szolnok,380.7145908993805e0
http://dbpedia.org/resource/Plovdiv,3401.578740929594e0
http://dbpedia.org/resource/Šiauliai,1255.8116602982868e0
http://dbpedia.org/resource/Wolverhampton,3792.583525345622e0
http://dbpedia.org/resource/Benidorm,1829.3949623474423e0
http://dbpedia.org/resource/Malmö,1057.5736620565242e0
http://dbpedia.org/resource/Szombathely,800.0922887612797e0
http://dbpedia.org/resource/Satu_Mare,681.5768463073852e0
http://dbpedia.org/resource/Örebro,113.02649788784953e0
http://dbpedia.org/resource/Oslo,1463.63125e0
http://dbpedia.org/resource/City_Municipality_of_Maribor,768.7702702702703e0
http://dbpedia.org/resource/Hamburg,2443.2999655729454e0
http://dbpedia.org/resource/Trnava,883.4614846917377e0
http://dbpedia.org/resource/Nottingham,4309.073850690256e0
http://dbpedia.org/resource/Leicester,4499.8499317871765e0
http://dbpedia.org/resource/Waterford,1107.7432712215323e0
http://dbpedia.org/resource/Dublin,4707.5891341256365e0
http://dbpedia.org/resource/Sibiu,1216.900826446281e0
http://dbpedia.org/resource/Iași,3092.8860489882854e0
http://dbpedia.org/resource/Swansea,
http://dbpedia.org/resource/Bergen,615.2460674399088e0
http://dbpedia.org/resource/Split__Croatia,2032.1491559586798e0
http://dbpedia.org/resource/Aalborg,2364.1420118343194e0
http://dbpedia.org/resource/Cluj-Napoca,1808.2228412256268e0
http://dbpedia.org/resource/Santiago_de_Compostela,444.7681818181818e0
http://dbpedia.org/resource/Pardubice,1070.8928139366078e0
http://dbpedia.org/resource/Tatabánya,720.2909647779479e0
http://dbpedia.org/resource/Miskolc,652.8688524590164e0
http://dbpedia.org/resource/Ústí_nad_Labem,961.775034585506e0
http://dbpedia.org/resource/Olomouc,962.8955772766864e0
http://dbpedia.org/resource/Dobrich,727.1184575024308e0
http://dbpedia.org/resource/Bucharest,7847.604166666667e0
http://dbpedia.org/resource/Haskovo,2625.161416552534e0
http://dbpedia.org/resource/Kaunas,1843.1847133757963e0
http://dbpedia.org/resource/City_Municipality_of_Ljubljana,1050.2981818181818e0
http://dbpedia.org/resource/Panevėžys,1714.2714570858284e0
http://dbpedia.org/resource/Galway,1539.7785977859778e0
http://dbpedia.org/resource/Patras,638.9489399820842e0
http://dbpedia.org/resource/Vidin,639.4064981492612e0
http://dbpedia.org/resource/Zadar,3003.28e0
http://dbpedia.org/resource/Eger,584.3383947939262e0
http://dbpedia.org/resource/İzmir,363.5740093240093e0
http://dbpedia.org/resource/Pamplona,8340.175019888624e0
http://dbpedia.org/resource/Konya,58.57579811179996e0
http://dbpedia.org/resource/Diyarbakır,118.96486917253287e0
http://dbpedia.org/resource/Veliko_Tarnovo,2353.665360940123e0
http://dbpedia.org/resource/Banská_Bystrica,728.6156525103995e0
http://dbpedia.org/resource/Alicante,1676.762557758235e0
http://dbpedia.org/resource/Alba_Iulia,612.9860106126387e0
http://dbpedia.org/resource/Ponferrada,225.1191863544867e0
http://dbpedia.org/resource/Stettin__Wisconsin,26.96937697993664e0
http://dbpedia.org/resource/A_Coruña,6545.1757864129e0
http://dbpedia.org/resource/Sliven,432.1395396841779e0
http://dbpedia.org/resource/Logroño,1916.3629508608774e0
http://dbpedia.org/resource/Burgos,1647.8423314029517e0
http://dbpedia.org/resource/Blagoevgrad,2345.6363070324123e0
http://dbpedia.org/resource/Samsun,1285.3829383886257e0
http://dbpedia.org/resource/Porto,5600.241429261227e0
http://dbpedia.org/resource/San_Vicente_del_Raspeig___Sant_Vicent_del_Raspeig,1398.6436498150433e0
http://dbpedia.org/resource/Gaziantep,312.4258688957325e0
http://dbpedia.org/resource/Harlow,3055.0098231827114e0
http://dbpedia.org/resource/Pernik,1050.8376101481554e0
http://dbpedia.org/resource/Salamanca,3751.943005181347e0
http://dbpedia.org/resource/Murcia,522.020502120518e0
http://dbpedia.org/resource/Guadalajara__Spain,364.6481803898255e0
http://dbpedia.org/resource/Shumen,530.5299285703809e0
http://dbpedia.org/resource/Castellón_de_la_Plana,1601.9856591285163e0
http://dbpedia.org/resource/Hastings,3124.327052489906e0
http://dbpedia.org/resource/Gijón,1496.5859030837005e0
http://dbpedia.org/resource/Valencia,5865.161529892313e0
http://dbpedia.org/resource/Seville,4887.385714285714e0
http://dbpedia.org/resource/Kayseri,84.1610631930998e0
http://dbpedia.org/resource/Elche,719.9172033118675e0
http://dbpedia.org/resource/Bursa,297.62358472462097e0
http://dbpedia.org/resource/Linares__Jaén,290.7037974683544e0
http://dbpedia.org/resource/Valladolid,1515.4960247126146e0
http://dbpedia.org/resource/Vratsa,235.9056603773585e0
http://dbpedia.org/resource/Stockholm,5206.223404255319e0
